,Unnamed: 0,labels,level2,level1,urls,Product_count,actual
72,73,artif. sweetener,sweetener,processed food,http://www.tesco.com/groceries/product/search/default.aspx?notepad=artif. sweetener&newSort=true,No results for 'artif. sweetener',
73,74,honey,sweetener,processed food,http://www.tesco.com/groceries/product/search/default.aspx?notepad=honey&newSort=true,266 results for 'honey',266
74,75,mustard,condiments,processed food,http://www.tesco.com/groceries/product/search/default.aspx?notepad=mustard&newSort=true,96 results for 'mustard',96
75,76,ketchup,condiments,processed food,http://www.tesco.com/groceries/product/search/default.aspx?notepad=ketchup&newSort=true,44 results for 'ketchup',44
76,77,spices,condiments,processed food,http://www.tesco.com/groceries/product/search/default.aspx?notepad=spices&newSort=true,618 results for 'spices',618
77,78,soups,soups/sauces,processed food,http://www.tesco.com/groceries/product/search/default.aspx?notepad=soups&newSort=true,366 results for 'soups',366
78,79,ready soups,soups/sauces,processed food,http://www.tesco.com/groceries/product/search/default.aspx?notepad=ready soups&newSort=true,17 results for 'ready soups',17
79,80,Instant food products,soups/sauces,processed food,http://www.tesco.com/groceries/product/search/default.aspx?notepad=Instant food products&newSort=true,1 result for 'Instant food products',1
80,81,sauces,soups/sauces,processed food,http://www.tesco.com/groceries/product/search/default.aspx?notepad=sauces&newSort=true,2449 results for 'sauces',2449
81,82,cereals,health food,processed food,http://www.tesco.com/groceries/product/search/default.aspx?notepad=cereals&newSort=true,968 results for 'cereals',968
82,83,organic products,health food,processed food,http://www.tesco.com/groceries/product/search/default.aspx?notepad=organic products&newSort=true,70 results for 'organic products',70
83,84,baking powder,bakery improver,processed food,http://www.tesco.com/groceries/product/search/default.aspx?notepad=baking powder&newSort=true,5 results for 'baking powder',5
84,85,preservation products,bakery improver,processed food,http://www.tesco.com/groceries/product/search/default.aspx?notepad=preservation products&newSort=true,No results for 'preservation products',
85,86,pudding powder,pudding powder,processed food,http://www.tesco.com/groceries/product/search/default.aspx?notepad=pudding powder&newSort=true,2 results for 'pudding powder',2
86,87,canned vegetables,canned fruit/vegetables,canned food,http://www.tesco.com/groceries/product/search/default.aspx?notepad=canned vegetables&newSort=true,166 results for 'canned vegetables',166
87,88,canned fruit,canned fruit/vegetables,canned food,http://www.tesco.com/groceries/product/search/default.aspx?notepad=canned fruit&newSort=true,129 results for 'canned fruit',129
88,89,pickled vegetables,canned fruit/vegetables,canned food,http://www.tesco.com/groceries/product/search/default.aspx?notepad=pickled vegetables&newSort=true,61 results for 'pickled vegetables',61
89,90,specialty vegetables,canned fruit/vegetables,canned food,http://www.tesco.com/groceries/product/search/default.aspx?notepad=specialty vegetables&newSort=true,1 result for 'speciality vegetables',1
90,91,jam,jam/sweet spreads,canned food,http://www.tesco.com/groceries/product/search/default.aspx?notepad=jam&newSort=true,405 results for 'jam',405
91,92,sweet spreads,jam/sweet spreads,canned food,http://www.tesco.com/groceries/product/search/default.aspx?notepad=sweet spreads&newSort=true,237 results for 'sweet spreads',237
92,93,meat spreads,meat spreads,canned food,http://www.tesco.com/groceries/product/search/default.aspx?notepad=meat spreads&newSort=true,108 results for 'meat spreads',108
93,94,canned fish,canned fish,canned food,http://www.tesco.com/groceries/product/search/default.aspx?notepad=canned fish&newSort=true,164 results for 'canned fish',164
94,95,dog food,pet food/care,canned food,http://www.tesco.com/groceries/product/search/default.aspx?notepad=dog food&newSort=true,466 results for 'dog food',466
95,96,cat food,pet food/care,canned food,http://www.tesco.com/groceries/product/search/default.aspx?notepad=cat food&newSort=true,408 results for 'cat food',408
96,97,pet care,pet food/care,canned food,http://www.tesco.com/groceries/product/search/default.aspx?notepad=pet care&newSort=true,30 results for 'pet care',30
97,98,baby food,baby food,canned food,http://www.tesco.com/groceries/product/search/default.aspx?notepad=baby food&newSort=true,391 results for 'baby food',391
98,99,coffee,coffee,drinks,http://www.tesco.com/groceries/product/search/default.aspx?notepad=coffee&newSort=true,379 results for 'coffee',379
99,100,instant coffee,coffee,drinks,http://www.tesco.com/groceries/product/search/default.aspx?notepad=instant coffee&newSort=true,117 results for 'instant coffee',117
100,101,tea,tea/cocoa drinks,drinks,http://www.tesco.com/groceries/product/search/default.aspx?notepad=tea&newSort=true,457 results for 'tea',457
