	AverageSellingUnitWeight	ContentsMeasureType	ContentsQuantity	IsNew	IsSpecialOffer	PromotionDescription	UnitOfSale	UnitQuantity	description	image	name	price	tpnb	unitprice
53	0.425	G	240.0	False	True	Any 4 for £1.00	1	KG		http://img.tesco.com/Groceries/pi/455/5018605427455/IDShot_90x90.jpg	East End Red Kidney Beans 400G	0.39	66433619	1.63
54	0.144	G	125.0	False			1	100G	[Pickled Onion Flavour Mini Baked Snack Biscuits]	http://img.tesco.com/Groceries/pi/539/0072417154539/IDShot_90x90.jpg	Burtons Fish & Chips Pickled Onion Snack 125G	1.59	79550253	1.28
55	0.483	KG	0.454		True	Any 2 for £2.50	1	KG	[Burgers made with vegetables and spicy beans coated in herby breadcrumbs, 4 Mexican Style Bean Burgers]	http://img.tesco.com/Groceries/pi/084/5018374181084/IDShot_90x90.jpg	Tesco Meat Free 4 Mexican Style Bean Burgers 454G	1.5	51444422	3.31
56	5.086	KG	5.0		True	Save £2.00 Was £10.00 Now £8.00	1	KG	[Complete pet food for senior dogs above 7 years]	http://img.tesco.com/Groceries/pi/177/7613034283177/IDShot_90x90.jpg	Bakers Complete Senior Bites Chicken And Country Vegetable 5Kg	8.0	50329048	1.6
57	1.063	KG	1.0	False	True	Save £1.20 Was £6.20 Now £5.00	1	KG	[Blended Spread 57% (32% milk fat & 25% vegetable oil).]	http://img.tesco.com/Groceries/pi/001/5740900815001/IDShot_90x90.jpg	Lurpak Lighter Slightly Salted Spreadable 1Kg	5.0	58609776	5.0
58	0.208	SNGL	2.0				1	EACH	[Fresh Lemon Grass]	http://img.tesco.com/Groceries/pi/997/0000010024997/IDShot_90x90.jpg	Tesco Thai Lemon Grass Minimum 2 Stems	0.7	51360814	0.35
59	0.794	G	400.0	False			1	100G	[Red cabbage with apple]	http://img.tesco.com/Groceries/pi/125/5901713000125/IDShot_90x90.jpg	Dawtona Red Cabbage And Apple 680G	0.99	61051163	0.248
60	1.096	KG	1.0				1	KG	[Reduced fat spread (45%) made with a blend of vegetable oils and olive oil (21%), Source of Vitamins B6, B12 and Folic Acid]	http://img.tesco.com/Groceries/pi/256/5018374425256/IDShot_90x90.jpg	Tesco Olive Spread 1Kg	1.9	51753966	1.9
61	0.5	G	500.0				1	KG	[Low fat spread (30%) made with a blend of vegetable oils and olive oil (16%), Contains 33% less fat than standard Tesco Olive Spread ** Source of B6, B12, & Folic Acid]	http://img.tesco.com/Groceries/pi/232/5000436197232/IDShot_90x90.jpg	Tesco Olive Light Spread 500G	1.0	53929468	2.0
62	0.5	G	400.0	False		30p off Crosse & Blackwell	1	100G	[Vegetable Broth]	http://img.tesco.com/Groceries/pi/622/5000232895622/IDShot_90x90.jpg	Crosse And Blackwell Bob Vegetable Broth 400G	0.99	81493346	0.248
63	0.139	G	80.0	False			1	KG	[Chillies]	http://img.tesco.com/Groceries/pi/296/0000010033296/IDShot_90x90.jpg	Tesco Finger Chillies 80G	0.9	52907012	11.25
64	0.512	G	500.0				1	KG	[Blended Spread 57% (32% milk fat and 25% vegetable oil), Blended Spread 57% (32% milk fat and 25% vegetable oil)]	http://img.tesco.com/Groceries/pi/525/5054775467525/IDShot_90x90.jpg	Tesco Butterpak Spreadable Light Slight Salted 500G	1.75	80728962	3.5
65	0.084	G	75.0			50p off Tesco freshcut fruit, prepped veg or salad	1	10G	[Garlic Paste, Fresh Garlic puree, flavour without the fuss]	http://img.tesco.com/Groceries/pi/577/5054269156577/IDShot_90x90.jpg	Tesco Garlic Puree 75G	1.0	78797319	0.133
66	0.44	G	400.0				1	100G	[Rice based infant cereal with milk powder and vegetables., Goodness of cereals, Infant cereal is the ideal foundation to a healthy and balanced diet.]	http://img.tesco.com/Groceries/pi/790/7616100234790/IDShot_90x90.jpg	Nestle Cerelac Mixed Vegetables And Rice Baby 7 Mths 400G	2.99	59440615	0.748
67	0.5	G	400.0	False		30p off Crosse & Blackwell	1	100G	[Vegetable and Beef Soup]	http://img.tesco.com/Groceries/pi/547/5000232895547/IDShot_90x90.jpg	Crosse And Blackwell British Chunky Vegetable And Beef Soup 400G	0.99	72081277	0.248
68	0.148	G	110.0	False			1	100G	[Lentil Snack with Sweet Chilli Seasoning.]	http://img.tesco.com/Groceries/pi/628/5017764701628/IDShot_90x90.jpg	Kettle Bites Sweet Chilli Curls 5 X 22G	1.5	79604876	1.37
69	0.17	G	102.0				1	100G	[Multigrain Crunchy Snacks 3 x Tzatziki, 3 x Sweet Tomato Salsa, Multigrain Crunchy Snacks]	http://img.tesco.com/Groceries/pi/557/5053526207557/IDShot_90x90.jpg	Tesco Slight Bites Crunchies 6 X 17G	0.85	75121157	0.833
70	0.337	G	320.0				1	KG	[Chicken and vegetables in a creamy sauce topped with crispy potatoes]	http://img.tesco.com/Groceries/pi/215/5390003008215/IDShot_90x90.jpg	Weight Watchers Chicken Hotpot 320G	1.25	53608178	3.91
71	0.32	G	30.0	False			1	10G	[Tarragon]	http://img.tesco.com/Groceries/pi/099/0000010065099/IDShot_90x90.jpg	Tesco Tarragon 30G	0.7	58410138	0.233
72	0.15	KG	0.13		True	Any 3 for £4.00	1	KG	[Vegetarian Tomato & Chunky Chickpea Curry]	http://img.tesco.com/Groceries/pi/093/5060398490093/IDShot_90x90.jpg	For Aisha Vegetable Tomato And Chickpea Curry 7Mth+ 130G	1.45	80745644	11.16
73	0.07	G	50.0	False			1	100G	[Sprouted alfalfa, clover, radish & broccoli, For recipe ideas & more check out: www.good4u.co]	http://img.tesco.com/Groceries/pi/448/5060087941448/IDShot_90x90.jpg	Good4u Super Sprouts 50G	1.5	72033583	3.0
74	0.585	G	500.0		True	Save 34p Was £1.59 Now £1.25	1	100G	[Beef Steak, Potato and Vegetable Soup]	http://img.tesco.com/Groceries/pi/573/5000157072573/IDShot_90x90.jpg	Heinz Big Soup Angus Steak And Potato 500G	1.25	71999074	0.25
75	1.299	ML	1250.0		True	Save 29p Was £1.29 Now £1.00	1	100ML	[Sparkling Low Calorie Soft Drink with Vegetable Extracts with Sweeteners]	http://img.tesco.com/Groceries/pi/724/5449000133724/IDShot_90x90.jpg	Coke Zero 1.25Ltr	1.0	60197366	0.08
