	AverageSellingUnitWeight	ContentsMeasureType	ContentsQuantity	IsNew	IsSpecialOffer	PromotionDescription	UnitOfSale	UnitQuantity	description	image	name	price	tpnb	unitprice
5	1.197	CL	75.0				1	75CL	[10 Year Old Tawny Port. Produce of Portugal. Oporto Portugal., A soft, velvety, mature wine offering complex nutty and dried fruit flavours derived from the extended barrel ageing.]	http://img.tesco.com/Groceries/pi/137/5000119810137/IDShot_90x90.jpg	Tesco Finest 10 Year Old Tawny Port 75Cl	12.0	50691493	12.0
6	1.25	CL	75.0				1	75CL	[Grillo Sauvignon Blanc IGT, A unique blend of citrus flavours from the local Grillo varietal and immediately recognisable tropical fruits from the Sauvignon Blanc, this wine blends the best of what Sicily can do. With warm days and cool nights, which help develop complex, delicate flavours, this lovely white will nicely match dishes such as Chicken Kiev or Seafood Paella.]	http://img.tesco.com/Groceries/pi/717/5054402667717/IDShot_90x90.jpg	Villa Taurini Grillo/Sauvignon Blanc 75Cl	5.5	78414019	5.5
7	1.1	L	1.0	True		£2 off when you spend £10 on any Asian products	1	100ML	[Apple Flavoured Carbonated Fruit Drink with Added Sugar]	http://img.tesco.com/Groceries/pi/036/8902579131036/IDShot_90x90.jpg	Appy Fizz Sparkling Apple Drink 1 Litre	1.25	81543017	0.125
8	0.124	G	113.0	False			1	100G	[Assorted Sour Jelly Beans with artificial fruit flavour, Follow us online to keep up to date on Warheads., Warheads.com, Facebook.com/Warheads, Twitter.com/Warheads (@warheads), Youtube.com/Warheadsone, Instagram.com/warheads_pix]	http://img.tesco.com/Groceries/pi/010/0032134235010/IDShot_90x90.jpg	Warheads Sour Jelly Beans Assorted Flavours 113G	2.0	80222474	1.77
9	2.24	ML	1950.0	False			1	100ML	[Chocolate flavour ready to drink milkshake with sweeteners, meal replacement for weight control., SlimFast® 3 2 1 Plan®, Choose meals a day, It's simple, easy to stick to and scientifically proven to work*. Enjoy our great tasting shakes, meal replacement bars and indulgent snacks while you follow the plan., Pick 3 snacks a day. Slimfast noodles & snacks or fruit & veg, Choose 2 Slimfast meals; shakes or bars, Have 1 sensible 600kcal meal (800kcal for men), Drink at least 2 litres of water and get some exercise, Could do with some support?, For tips, real life stories and recipe ideas visit us at: www.slimfast.co.uk]	http://img.tesco.com/Groceries/pi/006/5055967555006/IDShot_90x90.jpg	Slimfast Chunky Chocolate Shakes 6X325ml	9.0	79678125	0.462
10	0.164	G	180.0	True			1	100G	[5 bars of mixed cereals, dried fruit & chocolate topping, Visit www.halenhearty.co.uk to see the full range.]	http://img.tesco.com/Groceries/pi/577/5060204240577/IDShot_90x90.jpg	Hale And Hearty Choco Jungle Bar 180G	2.5	81544362	1.39
11	1.153	G	500.0	False			1	100G	[Cubes of apples in an apple filling topped with a buttery crumble., Try our Frozen Apple Crumble which combines chunks of apple with a crunchy oaty crumble topping. Why not serve up hot with a scoop of our Soft Scoop Vanilla Ice Cream.]	http://img.tesco.com/Groceries/pi/982/5057008312982/IDShot_90x90.jpg	Tesco Apple Crumble 500G	1.25	81609010	0.25
12	2.447	CL	225.0				1	75CL	[Rose Wine, W.O. Western Cape, Wine of South Africa, A delicious South African rose blend packed with flavours of strawberry and tropical fruits with a hint of vanilla cream.  Serve chilled and straight from the fridge.]	http://img.tesco.com/Groceries/pi/575/6009676519575/IDShot_90x90.jpg	Lion's Gate Rose 2.25L	13.0	78362454	4.34
13	0.124	G	113.0	False			1	100G	[Assorted Sour Chewy Cubes with artificial fruit flavour, Follow Warheads on these social media sites:, Facebook, Youtube, Twitter, Instagram, Flickr and at warheads.com]	http://img.tesco.com/Groceries/pi/248/0032134232248/IDShot_90x90.jpg	Warheads Sour Chewy Cubes Assorted Flavours 113G	2.0	80246048	1.77
14	1.25	CL	75.0	False			1	75CL	[2014 Saint Mont AOC. Product of France., Ripe aromas of exotic fruits combine with fresh cut apples and sun ripened apricots.  Full of intriguing flavours from the less well known grape varieties.  A blend of Gros Manseng, Arrufiac and Petit Courbu grapes carefully selected from Saint Mont vineyards located in the South West of France. Great as an aperetif, or with roasted goat's cheese, or seared tuna salad.]	http://img.tesco.com/Groceries/pi/808/5052909352808/IDShot_90x90.jpg	Tesco Finest St Mont 75Cl	6.0	71213942	6.0
