	AverageSellingUnitWeight	ContentsMeasureType	ContentsQuantity	IsNew	IsSpecialOffer	PromotionDescription	UnitOfSale	UnitQuantity	description	image	name	price	tpnb	unitprice
55	0.402	G	450.0		True	Any 2 for £4.00	1	KG	[Pasta and tuna on a bed of tomato sauce topped with cheese sauce and mature Cheddar cheese, Italian Tuna Pasta Bake]	http://img.tesco.com/Groceries/pi/070/5052910094070/IDShot_90x90.jpg	Tesco Italian Tuna Pasta Bake 450G	2.3	55491969	5.12
56	0.045	G	35.0	False			1	100G	[A recipe mix with tomato, red bell peppers and oregano for a tasty slow-cooked sausage casserole., For recipes and cooking suggestions visit: www.schwartz.co.uk, Find us on Facebook and Twitter]	http://img.tesco.com/Groceries/pi/333/5000225038333/IDShot_90x90.jpg	Schwartz Slow Cookers Sausage And Bean Casserole 35G	1.0	67274794	2.86
57	0.156	G	142.0				1	100G	[Tomato sauce for meat]	http://img.tesco.com/Groceries/pi/092/0054400000092/IDShot_90x90.jpg	A.1. Steak Sauce 142G	4.0	74471360	2.82
58	0.524	G	365.0		True	Any 2 for £6.00	1	KG	[Chicken breast fillets with a hot & spicy marinade and Piri Piri spicy seasoning., Chicken breast fillets marinated in an aromatic spicy piri piri sauce and delicately finished with a piri piri spicy seasoning. Oven ready and cooks in 45 minutes, serving 2 people. Why not try with spicy rice and roasted peppers?]	http://img.tesco.com/Groceries/pi/122/5054402100122/IDShot_90x90.jpg	Tesco Piri Piri Chicken Breast Fillets 365G	3.5	65837881	9.59
59	0.425	ML	400.0		True	Save 99p Was £1.99 Now £1.00	1	LITRE	[Coconut Milk., For more recipe ideas visit our website: www.bluedragon.com, Facebook bluedragonfans]	http://img.tesco.com/Groceries/pi/339/5010338014339/IDShot_90x90.jpg	Blue Dragon Coconut Milk 400Ml	1.0	54225078	2.5
60	1.65	ML	150.0	False			1	100ML	[Mild jalape&#241;o chilli pepper sauce., Fruity, sweet and mild.]	http://img.tesco.com/Groceries/pi/527/5054775702527/IDShot_90x90.jpg	Tesco Jalapeno Sauce 150Ml	0.7	81016659	0.467
61	0.31	G	500.0	False			1	KG	[Dried rigatoni pasta made from Durum wheat semolina., Perfect with a meat sauce]	http://img.tesco.com/Groceries/pi/481/5052910791481/IDShot_90x90.jpg	Tesco Rigatoni 500G	0.59	73458124	1.18
62	0.533	ML	150.0	False			1	100ML	[Shaoxing rice wine, Rick and smoky, adds intense flavour to Chinese stir fries and marinades]	http://img.tesco.com/Groceries/pi/862/5052910066862/IDShot_90x90.jpg	Tesco Ingredient Shaoxing Rice Wine 150Ml	2.99	72512137	2.0
63	0.893	G	800.0				1	KG	[Reduced Sugar and Salt Baked Beans in tomato sauce with sugar and sweetener., In a rich tomato sauce., 25% LESS salt., At least 50% less sugar and 25% less salt than standard Heinz Baked Beans.]	http://img.tesco.com/Groceries/pi/420/5000157075420/IDShot_90x90.jpg	Heinz Snap Pots 50% Less Sugar 4X200g	2.49	79488966	3.12
64	0.368	G	450.0		True	Any 2 for £4.00	1	KG	[Spaghetti in a tomato sauce with herby beef and pork meatballs topped with cheese, Italian Spaghetti & Meatballs]	http://img.tesco.com/Groceries/pi/868/5052910080868/IDShot_90x90.jpg	Tesco Italian Spaghetti And Meatballs 450G	2.3	59468859	5.12
65	1.65	ML	150.0	False			1	100ML	[Thai inspired chilli sauce with prik jin da pepper., SWEET AND WELL BALANCED]	http://img.tesco.com/Groceries/pi/503/5054775702503/IDShot_90x90.jpg	Tesco Prik Jinda Sauce 150Ml	0.7	81016596	0.467
66	0.625	ML	300.0		True	Save 25p Was £1.25 Now £1.00	1	100ML		http://img.tesco.com/Groceries/pi/124/8850206110124/IDShot_90x90.jpg	Healthy Boy Thai Sweet Chilli Sauce For Chicken 300Ml	1.0	73420100	0.333
67	0.22	G	200.0	False			1	100G	[Vegetable seasoning for soups, meat dishes and fish]	http://img.tesco.com/Groceries/pi/245/5901135023245/IDShot_90x90.jpg	Kucharek Seasoning 200G	0.99	59544101	0.495
68	0.287	G	260.0			£2 off when you spend £10 on any Asian products	1	100G		http://img.tesco.com/Groceries/pi/011/5018605162011/IDShot_90x90.jpg	East End Garlic Chilli Sauce 260G	1.0	67071158	0.385
69	0.4	G	400.0				1	100G	[4 Greek style natural yogurts blended with honey sauce, Greek Style Honey Yogurt 4 Pack]	http://img.tesco.com/Groceries/pi/670/5054268267670/IDShot_90x90.jpg	Tesco Greek Style Honey Yoghurt 4 X 100G	1.25	76622876	0.313
70	0.353	G	305.0	False		£1 WYS £5 on fresh pre-packed meat and fish	1	KG	[Chopped and shaped chicken filled with a creamy peppercorn sauce in a crispy golden breadcrumb coating., These tender 100% chicken breast kievs are packed with all the family friendly flavour you need for a teatime triumph. The crisp golden crumb and creamy cracked black peppercorn sauce make the start of a delicious dinner for hungry households. For a low fuss midweek meal add mash to mop up the sauce, or crispy potato slices and salad. Why not try cooking up a homemade side like our Salt and vinegar wedges recipe on Real Food.]	http://img.tesco.com/Groceries/pi/450/5053947839450/IDShot_90x90.jpg	Tesco 2 Creamy Peppercorn Chicken Kievs 305G	2.0	54358174	6.56
71	0.306	SNGL	2.0	False			1	EACH	[2 Plain Flame Baked Naans Tandoori Style, You can find more exciting recipes using this and our other products at The Spice Tailor's online cookbook.]	http://img.tesco.com/Groceries/pi/316/5052675000316/IDShot_90x90.jpg	The Spice Tailor Flame Baked Plain Naan's 2 Pack	1.99	79699676	0.995
72	0.338	G	400.0	False			1	KG	[Spaghetti in a tomato and beef bolognese sauce, Spaghetti in a tomato and beef bolognese sauce]	http://img.tesco.com/Groceries/pi/044/5052909576044/IDShot_90x90.jpg	Tesco Everyday Value Spaghetti Bolognese 400G	0.95	54932329	2.38
73	0.217	ML	200.0				1	100ML	[Fish sauce., A Thai classic for aromatic fish cakes or a tasty dipping sauce]	http://img.tesco.com/Groceries/pi/587/5052320748587/IDShot_90x90.jpg	Tesco Ingredient Fish Sauce 200Ml	2.39	67871801	1.2
74	0.047	G	43.0				1	100G	[A savoury recipe mix with parsley and paprika for a rich and comforting slow-cooked beef and ale stew., For recipes and cooking suggestions visit: www.schwartz.co.uk, Find us on Facebook and Twitter]	http://img.tesco.com/Groceries/pi/367/5000225040367/IDShot_90x90.jpg	Schwartz Slow Cooker Beef And Ale Stew 43G	1.0	71249139	2.33
75	0.506	G	400.0		True	Any 2 for £6.00	1	KG	[Free range egg pasta with Aberdeen Angus minced beef in a tomato and Chianti red wine sauce, topped with béchamel sauce and Grana Padano medium fat hard cheese., Free range egg pasta and rich Aberdeen Angus beef rag&#250; topped with creamy béchamel.]	http://img.tesco.com/Groceries/pi/494/5051277947494/IDShot_90x90.jpg	Tesco Finest Lasagne Al Forno 400G	3.5	57445383	8.75
76	0.283	G	229.0	False	True	Save 50p Was £1.50 Now £1.00	1	100G	[Tender pieces of chicken, sliced mushrooms with a light sauce in a puff pastry case.]	http://img.tesco.com/Groceries/pi/448/5030756000448/IDShot_90x90.jpg	Pukka Pies Chicken And Mushroom Pie 229G	1.0	61543474	0.437
